No,Panjang,Tinggi,Lebar
1,30,11.52,4.02
2,31.2,12.48,4.3056
3,31.1,12.3778,4.6961
4,33.5,12.73,.
5,34,12.444,5.134
6,34.7,13.6024,4.9274
7,34.5,14.1795,5.2785
8,35,12.67,4.69
9,35.1,14.0049,4.8438
10,36.2,14.2266,4.9594
11,36.2,14.2628,5.1042
12,36.2,14.3714,4.8146
13,36.4,13.7592,4.368
14,37.3,13.9129,5.0728
15,37.2,14.9544,5.1708
16,37.2,15.438,5.58
17,38.3,14.8604,5.2854
18,38.5,14.938,5.1975
19,38.6,15.633,5.1338
20,38.7,14.4738,5.7276
21,39.5,15.1285,5.5695
22,39.2,15.9936,5.3704
23,39.7,15.4686,.
24,40.6,16.2405,6.1306
25,40.5,16.36,5.589
26,40.9,16.3618,6.0532
27,40.6,16.517,6.09
28,41.5,16.8896,5.8515
29,41.6,18.957,6.1984
30,42.6,18.0369,6.603
31,44.1,18.048,6.3063
32,44,18.7542,6.292
33,45.3,18.6354,6.7479
34,45.9,17.6235,6.7473
35,46.5,4.1472,6.3705
36,16.2,5.2983,2.268
37,20.3,5.5756,2.8217
38,21.2,5.6166,2.9044
39,22.2,5.216,3.1746
40,22.2,6.4752,3.5741
41,22.8,6.1677,3.3516
42,23.1,6.1146,3.3957
43,23.7,6.1146,3.2943
44,24.7,5.8045,3.7544
45,24.3,6.6339,3.5478
46,25.3,7.0334,3.8203
47,25,6.55,3.325
48,25,6.4,3.8
49,27.2,7.5344,3.8352
50,26.7,6.9153,3.6312
51,26.8,7.3968,4.1272
52,27.9,7.0866,3.906
53,29.2,8.8768,4.47736
54,30.6,8.568,4.7736
55,35,9.485,5.355
